	SimulationNumber	PercentReduction	PropCasesReduced	InitialInf	AdjustedInf	NumHCWs	NumPTs	TreatmentEffect	PropImpactedPTs	PropImpactedHCWs	PTPercentReduction
5	6	8.540975344262307	0.17734724292101342	671	613.6900554399999	232	439	119	0.20045558086560364	0.1336206896551724	9.59361470615034
15	16	10.306010099062924	0.21285140562248997	747	670.01410456	239	508	159	0.2559055118110236	0.12133891213389121	11.989010477165362
25	26	8.66577772916917	0.18979833926453143	843	769.9474937431039	292	551	160	0.22141560798548093	0.13013698630136986	10.099839248075503
35	36	10.964110736165328	0.21928817451205512	871	775.502595488	256	615	191	0.2552845528455285	0.1328125	12.570819737235785
45	46	11.307358571484889	0.2457293035479632	761	674.951001271	234	527	187	0.23719165085388993	0.26495726495726496	10.968036191461108
55	56	11.275945137755105	0.23341836734693877	784	695.59659012	209	575	183	0.24521739130434783	0.20095693779904306	11.52214645286957
65	66	14.007384720618543	0.27190721649484534	776	667.3026945680001	263	513	211	0.2729044834307992	0.26996197718631176	13.833838226900586
75	76	11.018707985020708	0.22701149425287356	696	619.3097924242559	216	480	158	0.26875	0.13425925925925927	12.91502217661333
85	86	7.679263202952029	0.16728167281672818	813	750.56759016	258	555	136	0.1963963963963964	0.10465116279069768	9.05483420540541
95	96	11.12776248641115	0.22067363530778164	861	765.189964992	257	604	190	0.25	0.1517509727626459	12.356775396026492
105	106	8.677104795974829	0.1811320754716981	795	726.0170168720001	279	516	144	0.2189922480620155	0.1111111111111111	10.555606032558131
115	116	10.619548841206027	0.22613065326633167	796	711.468391224	227	569	180	0.2548330404217926	0.15418502202643172	11.878480452724082
125	126	7.923892124105006	0.1718377088305489	838	771.597784	349	489	144	0.2085889570552147	0.12034383954154727	9.77673128834356
135	136	10.404037841881646	0.22458270106221548	659	590.437390622	203	456	148	0.22807017543859648	0.21674876847290642	10.878047258114036
145	146	8.749985620915039	0.1934640522875817	765	698.06261	253	512	148	0.21484375	0.15019762845849802	9.703204296875
155	156	10.378453712244902	0.22321428571428573	784	702.632922896	227	557	175	0.236983842010772	0.1894273127753304	10.929131337881515
165	166	9.546760536398464	0.20051085568326948	783	708.248865	243	540	157	0.21666666666666667	0.1646090534979424	10.248531666666674
175	176	10.575335737922057	0.22064516129032258	775	693.0411480311041	227	548	171	0.2591240875912409	0.1277533039647577	12.481889740309478
