	SimulationNumber	PercentReduction	PropCasesReduced	InitialInf	AdjustedInf	NumHCWs	NumPTs	TreatmentEffect	PropImpactedPTs	PropImpactedHCWs	PTPercentReduction
0	1	9.106601325301204	0.19518072289156627	830	754.415209	362	468	162	0.23076923076923078	0.14917127071823205	10.747808333333328
1	2	9.893228320000008	0.2	755	680.3061261839999	292	463	151	0.21814254859611232	0.17123287671232876	10.879437297624195
2	3	9.609871418673894	0.2070365358592693	739	667.9830502159999	268	471	153	0.22717622080679406	0.17164179104477612	10.414127957537163
3	4	12.703985417580899	0.25223880597014925	670	584.883297702208	188	482	169	0.24896265560165975	0.26063829787234044	12.61867819622241
4	5	11.42074336661368	0.24165341812400637	629	557.163524224	187	442	152	0.2579185520361991	0.20320855614973263	12.202556510407245
5	6	8.540975344262307	0.17734724292101342	671	613.6900554399999	232	439	119	0.20045558086560364	0.1336206896551724	9.59361470615034
6	7	10.415461637876612	0.2065997130559541	697	624.404232384	221	476	144	0.21428571428571427	0.19004524886877827	10.589802487394959
7	8	8.465084106741568	0.18258426966292135	712	651.72860116	248	464	130	0.20689655172413793	0.13709677419354838	9.60122237931034
8	9	9.993396364345408	0.2116991643454039	718	646.247414104	255	463	152	0.22894168466522677	0.1803921568627451	10.757308713606907
9	10	7.344874918918917	0.16953316953316952	814	754.21271816	361	453	138	0.2052980132450331	0.12465373961218837	8.933150075055186
10	11	9.033042448979597	0.19727891156462585	735	668.607138	289	446	145	0.226457399103139	0.1522491349480969	10.387190582959638
11	12	10.22177077489987	0.21228304405874499	749	672.438936896	295	454	159	0.2511013215859031	0.15254237288135594	11.844214780616738
12	13	9.125399501763898	0.19538670284938942	737	669.7458056720001	249	488	144	0.22540983606557377	0.13654618473895583	10.789941460655742
13	14	10.83577754383953	0.22063037249283668	698	622.3662727440001	255	443	154	0.24604966139954854	0.17647058823529413	11.90152938871332
14	15	8.06503103448276	0.1724137931034483	609	559.883961	173	436	105	0.1834862385321101	0.14450867052023122	8.383227293577988
15	16	10.306010099062924	0.21285140562248997	747	670.01410456	239	508	159	0.2559055118110236	0.12133891213389121	11.989010477165362
16	17	12.979638686880469	0.26239067055393583	686	596.959678608	219	467	180	0.278372591006424	0.228310502283105	13.283023044111358
17	18	9.400316183277587	0.21237458193979933	598	541.786109224	165	433	127	0.22863741339491916	0.1696969696969697	10.135976622632791
18	19	10.97703023689456	0.21461897356143078	643	572.417695576768	203	440	138	0.22954545454545455	0.18226600985221675	11.617794569032727
19	20	11.902728057321646	0.246558197747184	799	703.897202822	266	533	197	0.275797373358349	0.18796992481203006	13.262156984803006
20	21	8.902458272957425	0.18296892980437285	869	791.637637608	335	534	159	0.2153558052434457	0.13134328358208955	10.415306898876407
21	22	8.872628718535472	0.19336384439359267	874	796.453225	325	549	169	0.2331511839708561	0.12615384615384614	10.72560127504554
22	23	8.253220661157034	0.18181818181818182	847	777.0952209999999	313	534	154	0.20973782771535582	0.134185303514377	9.735903183520604
23	24	7.513231639135963	0.1639135959339263	787	727.870867	219	568	129	0.20598591549295775	0.0547945205479452	9.471150176056328
24	25	10.417859002652524	0.21618037135278514	754	675.44934312	188	566	163	0.24028268551236748	0.14361702127659576	11.5278892409894
25	26	8.66577772916917	0.18979833926453143	843	769.9474937431039	292	551	160	0.22141560798548093	0.13013698630136986	10.099839248075503
26	27	11.323362033333328	0.22265625	768	681.036579584	220	548	171	0.2281021897810219	0.20909090909090908	11.63579590072992
27	28	9.059654163988906	0.19529085872576177	722	656.5892969360001	241	481	141	0.1995841995841996	0.18672199170124482	9.500542009147612
28	29	8.8799513381995	0.19586374695863748	822	749.0068000000001	272	550	161	0.21636363636363637	0.15441176470588236	9.838756363636362
29	30	7.026356313993172	0.14562002275312855	879	817.238328	362	517	128	0.1760154738878143	0.10220994475138122	8.248996518375241
30	31	11.217189252060217	0.22819593787335724	837	743.112125960256	277	560	191	0.2357142857142857	0.21299638989169675	11.516961781382845
31	32	7.825311999999997	0.16	75	69.131016	18	57	12	0.19298245614035087	0.05555555555555555	9.412252631578948
