	Source	NetworkSize	TreatedCount	Reduction	NumHCWs	TreatmentEffect	TreatedHCWs	PtReduction
0	Patient_6241	1	0	1.0	0	0	0	1.0
1	Patient_39079	2	0	2.0	1	0	0	1.0
2	Patient_43791	2	0	2.0	1	0	0	1.0
3	Patient_67817	1	0	1.0	0	0	0	1.0
4	Patient_1849	1	0	1.0	0	0	0	1.0
5	Patient_12337	3	1	2.278	1	2	1	1.639
6	Patient_23733	1	0	1.0	0	0	0	1.0
7	Patient_39428	9	2	3.972096	6	7	5	1.742016
8	Patient_47340	1	0	1.0	0	0	0	1.0
9	Patient_67613	2	0	2.0	1	0	0	1.0
10	Patient_79606	1	0	1.0	0	0	0	1.0
11	Patient_5102	1	0	1.0	0	0	0	1.0
12	Patient_10318	1	0	1.0	0	0	0	1.0
13	Patient_15715	2	0	2.0	1	0	0	1.0
14	Patient_22504	2	1	1.639	0	1	0	1.639
15	Patient_25135	4	1	3.278	1	2	1	2.6390000000000002
16	Patient_37309	1	0	1.0	0	0	0	1.0
17	Patient_39826	3	0	3.0	1	0	0	2.0
18	Patient_48750	2	1	1.639	0	1	0	1.639
19	Patient_64828	1	0	1.0	0	0	0	1.0
20	Patient_77476	1	0	1.0	0	0	0	1.0
21	Patient_4186	1	0	1.0	0	0	0	1.0
22	Patient_7816	6	0	6.0	5	0	0	1.0
23	Patient_13766	3	0	3.0	2	0	0	1.0
24	Patient_27055	7	1	6.2780000000000005	3	2	0	3.278
25	Patient_44648	12	1	6.456000000000001	5	11	5	3.976
26	Patient_56681	1	0	1.0	0	0	0	1.0
27	Patient_61008	1	0	1.0	0	0	0	1.0
28	Patient_3914	1	0	1.0	0	0	0	1.0
29	Patient_29769	13	4	5.166056000000001	6	12	6	3.1899919999999997
30	Patient_35789	11	2	8.911888000000001	7	4	1	2.272888
31	Patient_46579	2	1	1.639	0	1	0	1.639
32	Patient_57748	1	0	1.0	0	0	0	1.0
33	Patient_70699	2	0	2.0	1	0	0	1.0
34	Patient_77112	3	1	2.6390000000000002	1	1	0	1.639
35	Patient_80059	3	1	2.6390000000000002	1	1	0	1.639
36	Patient_3783	1	0	1.0	0	0	0	1.0
37	Patient_11640	6	0	6.0	5	0	0	1.0
38	Patient_33225	1	0	1.0	0	0	0	1.0
39	Patient_40048	1	0	1.0	0	0	0	1.0
40	Patient_67997	2	1	1.639	0	1	0	1.639
41	Patient_79000	6	1	4.917	4	3	2	1.639
42	Patient_6789	9	2	4.540664	5	7	5	2.955944
43	Patient_11305	1	0	1.0	0	0	0	1.0
44	Patient_24906	1	0	1.0	0	0	0	1.0
